Date,Day,Unlocks,Total Time,Social,Scrolling Time(Facebook Lite + Instagram)
2,Sunday,78,5:36,4:49,3:10
3,Saturday,94,7:42,5:55,5:15
4,Monday,147,3:47,2:26,1:58
5,Tuesday,126,4:56,4:25,3:58
6,Wednesday,141,3:30,2:35,2:22
7,Thrusday,76,3:38,3:24,1:46
8,Friday,141,4:28,4:02,2:25
9,Saturday,67,10:29,9:49,6:15
10,Sunday,103,7:20,6:28,2:05
11,Monday,123,2:58,2:35,1:34
12,Tuesday,83,2:21,2:08,0:51
13,Wednesday,94,1:54,1:08,0:36
14,Thrusday,109,4:17,2:25,1:42
15,Friday,123,5:06,4:00,2:29
16,Saturday,104,3:31,2:48,1:54
17,Sunday,100,5:20,5:12,3:43
18,Monday,119,2:57,2:34,1:32
19,Tuesday,145,4:23,3:36,2:41
20,Wednesday,182,2:40,2:11,1:38
21,Thrusday,120,4:53,4:22,2:03
22,Friday,110,5:11,4:17,2:32
23,Saturday,62,6:38,6:01,4:18
24,Sunday,131,6:02,5:13,2:56
25,Monday,50,2:21,2:09,1:32
26,Tuesday,67,6:09,5:09,2:29
27,Wednesday,97,3:49,2:10,1:41
28,Thrusday,163,2:37,1:58,1:31
29,Friday,81,4:06,3:30,1:32
30,Saturday,78,9:04,7:58,4:44
1,Sunday,99,7:23,5:43,3:12
2,Monday,117,4:13,3:33,2:20
3,Tuesday,190,5:56,4:16,2:32